state,nqtraj,survival_mean,survival_stderr,relative_error,n_trajectories
1P,10,0.000000,0.000000,0.000000,10
1P,20,0.000000,0.000000,0.000000,20
1P,40,0.000000,0.000000,0.000000,40
1P,100,0.000000,0.000000,0.000000,100
1P,200,0.000000,0.000000,0.000000,200
1P,500,0.000000,0.000000,0.000000,500
1S,10,0.000004,0.000001,0.258199,10
1S,20,0.000004,0.000001,0.182574,20
1S,40,0.000004,0.000001,0.143012,40
1S,100,0.000004,0.000000,0.086855,100
2S,10,0.000005,0.000001,0.207020,10
2S,20,0.000005,0.000001,0.146385,20
2S,40,0.000004,0.000001,0.129099,40
2S,100,0.000003,0.000000,0.096076,100
