state,kappa,survival_mean,survival_stderr,n_trajectories
1P,2,0.000000,0.000000,1
1P,3,0.000000,0.000000,1
1P,4,0.000000,0.000000,1
1P,5,0.000000,0.000000,1
1P,6,0.000000,0.000000,1
1S,2,0.000000,0.000000,1
1S,3,0.000001,0.000000,1
1S,4,0.000004,0.000000,1
1S,5,0.000014,0.000000,1
1S,6,0.000039,0.000000,1
2P,2,0.000000,0.000000,1
2P,3,0.000000,0.000000,1
2P,4,0.000000,0.000000,1
2P,5,0.000000,0.000000,1
2P,6,0.000000,0.000000,1
2S,2,0.000000,0.000000,1
2S,3,0.000001,0.000000,1
2S,4,0.000004,0.000000,1
2S,5,0.000014,0.000000,1
2S,6,0.000039,0.000000,1
3S,2,0.000000,0.000000,1
3S,3,0.000001,0.000000,1
3S,4,0.000004,0.000000,1
3S,5,0.000014,0.000000,1
3S,6,0.000039,0.000000,1
