state,kappa,jump_mode,b_fm,nqtraj,potential,survival_mean,survival_stderr,n_trajectories
1P,2,noJumps,0.00,100,munich,0.000000,0.000000,1
1P,2,withJumps,0.00,100,munich,0.000000,0.000000,100
1P,3,noJumps,0.00,100,munich,0.000000,0.000000,1
1P,3,withJumps,0.00,100,munich,0.000000,0.000000,102
1P,4,noJumps,0.00,100,munich,0.000000,0.000000,1
1P,4,withJumps,0.00,100,munich,0.000000,0.000000,115
1P,5,noJumps,0.00,100,munich,0.000000,0.000000,1
1P,5,withJumps,0.00,100,munich,0.000000,0.000000,119
1P,6,noJumps,0.00,100,ksu_anisotropic,0.000000,0.000000,1
1P,6,noJumps,0.00,100,ksu_isotropic,0.000000,0.000000,1
1P,6,noJumps,0.00,100,munich,0.000000,0.000000,1
1P,6,withJumps,0.00,100,munich,0.000000,0.000000,107
1S,2,noJumps,0.00,100,munich,0.000000,0.000000,1
1S,2,withJumps,0.00,100,munich,0.000000,0.000000,154
1S,3,noJumps,0.00,100,munich,0.000001,0.000000,1
1S,3,withJumps,0.00,100,munich,0.000000,0.000000,100
1S,4,noJumps,0.00,100,munich,0.000004,0.000000,1
1S,4,withJumps,0.00,100,munich,0.000004,0.000000,100
1S,5,noJumps,0.00,100,munich,0.000014,0.000000,1
1S,5,withJumps,0.00,100,munich,0.000015,0.000001,100
1S,6,noJumps,0.00,100,ksu_anisotropic,0.000006,0.000000,1
1S,6,noJumps,0.00,100,ksu_isotropic,0.000006,0.000000,1
1S,6,noJumps,0.00,100,munich,0.000039,0.000000,1
1S,6,withJumps,0.00,100,munich,0.000042,0.000003,100
2P,2,noJumps,0.00,100,munich,0.000000,0.000000,1
2P,2,withJumps,0.00,100,munich,0.000000,0.000000,100
2P,3,noJumps,0.00,100,munich,0.000000,0.000000,1
2P,3,withJumps,0.00,100,munich,0.000000,0.000000,100
2P,4,noJumps,0.00,100,munich,0.000000,0.000000,1
2P,4,withJumps,0.00,100,munich,0.000000,0.000000,100
2P,5,noJumps,0.00,100,munich,0.000000,0.000000,1
2P,5,withJumps,0.00,100,munich,0.000000,0.000000,100
2P,6,noJumps,0.00,100,ksu_anisotropic,0.000000,0.000000,1
2P,6,noJumps,0.00,100,ksu_isotropic,0.000000,0.000000,1
2P,6,noJumps,0.00,100,munich,0.000000,0.000000,1
2P,6,withJumps,0.00,100,munich,0.000000,0.000000,100
2S,2,noJumps,0.00,100,munich,0.000000,0.000000,1
2S,2,withJumps,0.00,100,munich,0.000000,0.000000,104
2S,3,noJumps,0.00,100,munich,0.000001,0.000000,1
2S,3,withJumps,0.00,100,munich,0.000001,0.000000,102
2S,4,noJumps,0.00,100,munich,0.000004,0.000000,1
2S,4,withJumps,0.00,100,munich,0.000004,0.000000,102
2S,5,noJumps,0.00,100,munich,0.000014,0.000000,1
2S,5,withJumps,0.00,100,munich,0.000013,0.000001,101
2S,6,noJumps,0.00,100,ksu_anisotropic,0.000006,0.000000,1
2S,6,noJumps,0.00,100,ksu_isotropic,0.000006,0.000000,1
2S,6,noJumps,0.00,100,munich,0.000039,0.000000,1
2S,6,withJumps,0.00,100,munich,0.000037,0.000003,105
3S,2,noJumps,0.00,100,munich,0.000000,0.000000,1
3S,2,withJumps,0.00,100,munich,0.000000,0.000000,100
3S,3,noJumps,0.00,100,munich,0.000001,0.000000,1
3S,3,withJumps,0.00,100,munich,0.000000,0.000000,100
3S,4,noJumps,0.00,100,munich,0.000004,0.000000,1
3S,4,withJumps,0.00,100,munich,0.000003,0.000000,100
3S,5,noJumps,0.00,100,munich,0.000014,0.000000,1
3S,5,withJumps,0.00,100,munich,0.000014,0.000001,100
3S,6,noJumps,0.00,100,ksu_anisotropic,0.000006,0.000000,1
3S,6,noJumps,0.00,100,ksu_isotropic,0.000006,0.000000,1
3S,6,noJumps,0.00,100,munich,0.000039,0.000000,1
3S,6,withJumps,0.00,100,munich,0.000034,0.000003,100
